member_id,member_name,member_type,tier,segment,country,employees,joined_year
M001,Green Brands,Corporate Member,Standard,SMB,DE,183,2018
M002,Urban Markets,Affiliate,Premium,Mid-market,PL,50,2019
M003,Nordic Markets,Founding,Enterprise,Enterprise,AT,68,2020
M004,Hyper Logistics,Strategic Partner,Lifetime,Enterprise,AT,85,2021
M005,Omni Logistics,Individual Pro,Standard,SMB,AT,41,2022
M006,Next Group,Student,Premium,SMB,PL,66,2023
M007,Hyper Commerce,Corporate Member,Enterprise,Enterprise,ES,66,2024
M008,Vista Brands,Affiliate,Lifetime,Mid-market,CH,23,2025
M009,Omni Retail,Founding,Standard,SMB,CH,122,2018
M010,Urban Solutions,Strategic Partner,Premium,Mid-market,AT,95,2019
M011,Omni Partners,Individual Pro,Enterprise,SMB,DE,45,2020
M012,Nova Labs,Student,Lifetime,SMB,ES,60,2021
M013,Hyper Media,Corporate Member,Standard,SMB,IT,90,2022
M014,Green Systems,Affiliate,Premium,Enterprise,NL,57,2023
M015,Urban Solutions,Founding,Enterprise,SMB,IT,57,2024
M016,Summit Media,Strategic Partner,Lifetime,Mid-market,PL,27,2025
M017,Urban Retail,Individual Pro,Standard,Enterprise,UK,93,2018
M018,Blue Capital,Student,Premium,Enterprise,AT,71,2019
M019,Pulse Markets,Corporate Member,Enterprise,Mid-market,UK,78,2020
M020,Nova Capital,Affiliate,Lifetime,Enterprise,AT,26,2021
M021,Prime Capital,Founding,Standard,Enterprise,FR,179,2022
M022,Atlas Solutions,Strategic Partner,Premium,Mid-market,SE,73,2023
M023,Summit Group,Individual Pro,Enterprise,Enterprise,IT,52,2024
M024,Green Brands,Student,Lifetime,Mid-market,DE,225,2025
M025,Next Systems,Corporate Member,Standard,SMB,NL,64,2018
M026,Hyper Logistics,Affiliate,Premium,Enterprise,CH,27,2019
M027,Cloud Logistics,Founding,Enterprise,Enterprise,SE,52,2020
M028,Vista Markets,Strategic Partner,Lifetime,SMB,SE,20,2021
M029,Green Group,Individual Pro,Standard,Enterprise,CH,125,2022
M030,Urban Brands,Student,Premium,Enterprise,NL,51,2023
M031,Nordic Capital,Corporate Member,Enterprise,Mid-market,FR,42,2024
M032,Nordic Brands,Affiliate,Lifetime,SMB,UK,126,2025
M033,Nova Solutions,Founding,Standard,Enterprise,ES,24,2018
M034,Nova Group,Strategic Partner,Premium,Mid-market,ES,91,2019
M035,Hyper Logistics,Individual Pro,Enterprise,Mid-market,AT,20,2020
M036,Cloud Group,Student,Lifetime,Enterprise,NL,44,2021
M037,Urban Labs,Corporate Member,Standard,Enterprise,AT,32,2022
M038,Green Solutions,Affiliate,Premium,Enterprise,DE,160,2023
M039,Nova Brands,Founding,Enterprise,Mid-market,PL,192,2024
M040,Nordic Retail,Strategic Partner,Lifetime,SMB,SE,54,2025
M041,Blue Group,Individual Pro,Standard,Mid-market,PL,110,2018
M042,Green Capital,Student,Premium,Enterprise,IT,59,2019
M043,Cloud Capital,Corporate Member,Enterprise,Mid-market,AT,93,2020
M044,Blue Retail,Affiliate,Lifetime,SMB,FR,42,2021
M045,Cloud Partners,Founding,Standard,SMB,DE,23,2022
M046,Next Markets,Strategic Partner,Premium,Enterprise,ES,22,2023
M047,Summit Commerce,Individual Pro,Enterprise,SMB,AT,83,2024
M048,Bright Systems,Student,Lifetime,Enterprise,UK,256,2025
M049,Pulse Labs,Corporate Member,Standard,SMB,NL,78,2018
M050,Nova Labs,Affiliate,Premium,Mid-market,NL,48,2019
M051,Next Markets,Founding,Enterprise,Mid-market,DE,210,2020
M052,Nordic Systems,Strategic Partner,Lifetime,Mid-market,NL,76,2021
M053,Bright Solutions,Individual Pro,Standard,Mid-market,UK,70,2022
M054,Green Retail,Student,Premium,Enterprise,NL,77,2023
M055,Cloud Labs,Corporate Member,Enterprise,Enterprise,IT,61,2024
M056,Nova Solutions,Affiliate,Lifetime,Mid-market,UK,55,2025
M057,Pulse Group,Founding,Standard,SMB,AT,28,2018
M058,Summit Logistics,Strategic Partner,Premium,Mid-market,CH,90,2019
M059,Hyper Group,Individual Pro,Enterprise,Enterprise,SE,63,2020
M060,Cloud Logistics,Student,Lifetime,SMB,CH,136,2021
M061,Blue Brands,Corporate Member,Standard,Enterprise,PL,53,2022
M062,Summit Capital,Affiliate,Premium,SMB,PL,21,2023
M063,Cloud Group,Founding,Enterprise,Enterprise,ES,62,2024
M064,Omni Brands,Strategic Partner,Lifetime,Enterprise,AT,184,2025
M065,Omni Partners,Individual Pro,Standard,Mid-market,NL,52,2018
M066,Vista Labs,Student,Premium,Mid-market,NL,39,2019
M067,Prime Markets,Corporate Member,Enterprise,SMB,UK,32,2020
M068,Prime Markets,Affiliate,Lifetime,Enterprise,DE,35,2021
M069,Summit Partners,Founding,Standard,Mid-market,PL,55,2022
M070,Vista Markets,Strategic Partner,Premium,SMB,CH,32,2023
M071,Omni Brands,Individual Pro,Enterprise,Mid-market,CH,163,2024
M072,Nova Commerce,Student,Lifetime,Enterprise,CH,56,2025
M073,Cloud Solutions,Corporate Member,Standard,SMB,DE,71,2018
M074,Green Group,Affiliate,Premium,Enterprise,ES,158,2019
M075,Nordic Labs,Founding,Enterprise,Mid-market,DE,164,2020
M076,Pulse Retail,Strategic Partner,Lifetime,SMB,DE,58,2021
M077,Pulse Retail,Individual Pro,Standard,Mid-market,PL,81,2022
M078,Omni Solutions,Student,Premium,SMB,FR,103,2023
M079,Cloud Markets,Corporate Member,Enterprise,SMB,NL,59,2024
M080,Bright Markets,Affiliate,Lifetime,SMB,NL,22,2025
