program_id,annual_meeting_id,title,track,format,start_time,duration_min,host_member_id
PGM2024-01,AM-2024,Executive Forum: 2026 Outlook,Leadership,Webinar,2024-06-25T9:00:00,45,M011
PGM2024-02,AM-2024,EU Policy Briefing,Policy & Advocacy,Workshop,2024-06-25T10:00:00,30,M018
PGM2024-03,AM-2024,Standards Update Roundtable,Industry Standards,Roundtable,2024-06-25T11:00:00,45,M080
PGM2024-04,AM-2024,CPE Live Session,Continuing Education,Member Briefing,2024-06-25T12:00:00,30,M040
PGM2024-05,AM-2024,Annual Industry Research Reveal,Research,Certification Course,2024-06-25T13:00:00,45,M009
PGM2024-06,AM-2024,New Member Mixer,Networking,Webinar,2024-06-25T14:00:00,40,M008
PGM2024-07,AM-2024,DEI Town Hall,Diversity & Inclusion,Workshop,2024-06-25T15:00:00,30,M035
PGM2024-08,AM-2024,Member Case Study Live,Member Spotlight,Roundtable,2024-06-25T9:00:00,45,M014
PGM2024-09,AM-2024,Board-level Decision Making,Leadership,Member Briefing,2024-06-25T10:00:00,30,M071
PGM2024-10,AM-2024,Regulatory Update Q&A,Policy & Advocacy,Certification Course,2024-06-25T11:00:00,40,M025
PGM2024-11,AM-2024,Best Practice Showcase,Industry Standards,Webinar,2024-06-25T12:00:00,45,M031
PGM2024-12,AM-2024,Continuing Education Lab,Continuing Education,Workshop,2024-06-25T13:00:00,30,M036
PGM2024-13,AM-2024,Member Benchmarking Webinar,Research,Roundtable,2024-06-25T14:00:00,45,M072
PGM2024-14,AM-2024,Chapter Connect,Networking,Member Briefing,2024-06-25T15:00:00,30,M049
PGM2024-15,AM-2024,Inclusive Leadership Workshop,Diversity & Inclusion,Certification Course,2024-06-25T9:00:00,60,M054
PGM2024-16,AM-2024,Spotlight Series: Innovators,Member Spotlight,Webinar,2024-06-25T10:00:00,30,M071
PGM2024-17,AM-2024,Chair Roundtable,Leadership,Workshop,2024-06-25T11:00:00,30,M055
PGM2024-18,AM-2024,Advocacy Toolkit Workshop,Policy & Advocacy,Roundtable,2024-06-25T12:00:00,30,M031
PGM2024-19,AM-2024,Auditor Office Hours,Industry Standards,Member Briefing,2024-06-25T13:00:00,30,M065
PGM2024-20,AM-2024,Skills Bootcamp,Continuing Education,Certification Course,2024-06-25T14:00:00,60,M045
PGM2024-21,AM-2024,Research Insights Live,Research,Webinar,2024-06-25T15:00:00,45,M066
PGM2024-22,AM-2024,Peer Circle Launch,Networking,Workshop,2024-06-25T9:00:00,45,M042
PGM2025-01,AM-2025,Mentorship Cohort Kickoff,Diversity & Inclusion,Roundtable,2025-06-25T9:00:00,40,M028
PGM2025-02,AM-2025,Founders' Hour,Member Spotlight,Member Briefing,2025-06-25T10:00:00,60,M041
PGM2025-03,AM-2025,Executive Forum: 2026 Outlook,Leadership,Certification Course,2025-06-25T11:00:00,45,M019
PGM2025-04,AM-2025,EU Policy Briefing,Policy & Advocacy,Webinar,2025-06-25T12:00:00,60,M025
PGM2025-05,AM-2025,Standards Update Roundtable,Industry Standards,Workshop,2025-06-25T13:00:00,40,M040
PGM2025-06,AM-2025,CPE Live Session,Continuing Education,Roundtable,2025-06-25T14:00:00,30,M057
PGM2025-07,AM-2025,Annual Industry Research Reveal,Research,Member Briefing,2025-06-25T15:00:00,45,M023
PGM2025-08,AM-2025,New Member Mixer,Networking,Certification Course,2025-06-25T9:00:00,60,M073
PGM2025-09,AM-2025,DEI Town Hall,Diversity & Inclusion,Webinar,2025-06-25T10:00:00,60,M036
PGM2025-10,AM-2025,Member Case Study Live,Member Spotlight,Workshop,2025-06-25T11:00:00,30,M006
PGM2025-11,AM-2025,Board-level Decision Making,Leadership,Roundtable,2025-06-25T12:00:00,40,M067
PGM2025-12,AM-2025,Regulatory Update Q&A,Policy & Advocacy,Member Briefing,2025-06-25T13:00:00,40,M032
PGM2025-13,AM-2025,Best Practice Showcase,Industry Standards,Certification Course,2025-06-25T14:00:00,45,M034
PGM2025-14,AM-2025,Continuing Education Lab,Continuing Education,Webinar,2025-06-25T15:00:00,30,M003
PGM2025-15,AM-2025,Member Benchmarking Webinar,Research,Workshop,2025-06-25T9:00:00,40,M007
PGM2025-16,AM-2025,Chapter Connect,Networking,Roundtable,2025-06-25T10:00:00,30,M069
PGM2025-17,AM-2025,Inclusive Leadership Workshop,Diversity & Inclusion,Member Briefing,2025-06-25T11:00:00,30,M038
PGM2025-18,AM-2025,Spotlight Series: Innovators,Member Spotlight,Certification Course,2025-06-25T12:00:00,40,M006
PGM2025-19,AM-2025,Chair Roundtable,Leadership,Webinar,2025-06-25T13:00:00,60,M052
PGM2025-20,AM-2025,Advocacy Toolkit Workshop,Policy & Advocacy,Workshop,2025-06-25T14:00:00,45,M066
PGM2025-21,AM-2025,Auditor Office Hours,Industry Standards,Roundtable,2025-06-25T15:00:00,60,M062
PGM2025-22,AM-2025,Skills Bootcamp,Continuing Education,Member Briefing,2025-06-25T9:00:00,60,M064
